,Program,Player,id,count,curr_min,avg,q1,val_by_curr,val_by_avg,date
0,PO ,Kelce,28552,1,88000,74472,69750,88000,74472,03-23 21:58
1,TOTW, Kelce,24053,1,167000,134444,102500,167000,134444,03-23 21:58
2,CE, Kelce,1018000890,1,50000,33944,30000,50000,33944,03-23 21:58
3,FB, Luck,25025,1,169000,147444,142000,169000,147444,03-23 21:58
4,CE, Luck,1018011209,1,20000,19083,15250,20000,19083,03-23 21:58
5,VET, Wilkerson,25423,1,84444,84444,78500,84444,84444,03-23 21:58
6,TOTW, Wilkerson,24112,1,43750,34694,32125,43750,34694,03-23 21:58
7,CE, Wilkerson,1018010699,1,100000,5355,5450,100000,5355,03-23 21:58
8,PO, Houston,28523,1,138000,86305,90500,138000,86305,03-23 21:58
9,CE, Houston,1018010703,1,29000,22238,25000,29000,22238,03-23 21:58
10,TOTW, Earl Thomas III,24211,1,287000,249000,138000,287000,249000,03-23 21:58
11,CE, Earl Thomas III,1018009951,1,65000,52277,47750,65000,52277,03-23 21:58
12,VET,  Burnett,25421,1,100000,78416,64250,100000,78416,03-23 21:58
13,CE, Burnett,1018009954,1,9500,10033,8050,9500,10033,03-23 21:58
14,HERO, Talib,25204,1,114000,128500,110000,114000,128500,03-23 21:58
15,CE, Talib,1018028387,1,69500,33083,30500,69500,33083,03-23 21:58
16,TOTW, Telvin Smith,24132,1,267000,187388,139000,267000,187388,03-23 21:58
17,CE, Telvin Smith,1018002064,3,7000,8077,8200,21000,24231,03-23 21:58
18,FB, Incognito,25014,3,60000,52194,49875,180000,156582,03-23 21:58
19,CE,  Incognito,1018026622,1,35000,24316,24375,35000,24316,03-23 21:58
20,HARV, Jarvis Landry,27002,2,129555,129555,100000,259110,259110,03-23 21:58
21,CE, Jarvis Landry,1018012339,1,37500,27333,20000,37500,27333,03-23 21:58
22,MF, Richard Sherman,26003,1,440000,122666,95000,440000,122666,03-23 21:58
23,CE, Richard Sherman,1018010811,1,135000,142222,71000,135000,142222,03-23 21:58
24,MOTIV, Dez Bryant,28105,1,109000,87055,72500,109000,87055,03-23 21:58
25,CE, Dez Bryant,1018009754,1,30000,22588,19000,30000,22588,03-23 21:58
26,MOTIV, Jurrell Casey,28110,1,49750,44888,44375,49750,44888,03-23 21:58
27,CE, Jurrell Casey,1018010725,1,13500,7788,7550,13500,7788,03-23 21:58
28,FB, Jordan Hicks,25015,2,39500,51083,45375,79000,102166,03-23 21:58
29,FB, Eric Berry,25008,2,52611,52611,46125,105222,105222,03-23 21:58
30,CE, Marshal Yanda,1018028013,1,57500,55194,49500,57500,55194,03-23 21:58
31,TOTW, Everson Griffen,24190,1,120000,119222,90000,120000,119222,03-23 21:58
32,CE, Everson Griffen,1018009836,1,13250,8761,6000,13250,8761,03-23 21:58
33,VET, Zach Strief,25410,1,82000,58722,53000,82000,58722,03-23 21:58
34,CE, Zach Strief,1018027458,1,10500,17705,8100,10500,17705,03-23 21:58
35,CE, Jerrell Freeman,1018011801,1,66500,21338,18250,66500,21338,03-23 21:58
36,CE, DRC,1018028388,2,55000,45416,34250,110000,90832,03-23 21:58
37,CE, David Johnson,1018002406,2,53000,54472,41000,106000,108944,03-23 21:58
38,FRZ, Shaq Thompson,27602,1,75000,42416,33125,75000,42416,03-23 21:58
39,CE, Shaq Thompson,1018002562,1,7500,7500,7000,7500,7500,03-23 21:58
40,CE, Ramon Foster,1018028824,1,49500,30288,30750,49500,30288,03-23 21:58
41,CE, Demarco Murray,1018010590,1,13500,13938,12125,13500,13938,03-23 21:58
42,CE, Drew Brees,1018014118,1,44750,23294,21375,44750,23294,03-23 21:58
43,CE, Vontaze Burfict,1018011569,2,16500,14155,15000,33000,28310,03-23 21:58
44,CE, Jordan Howard,1018017580,1,10750,10516,9150,10750,10516,03-23 21:58
45,CE, Marcell Dareus,1018010718,1,8900,117516,8000,8900,117516,03-23 21:58
46,TOTW, Stefon Diggs,24081,1,149000,81666,60000,149000,81666,03-23 21:58
47,CE, Stefon Diggs,1018002454,3,10133,10133,8450,30399,30399,03-23 21:58
48,CE, Sean Lee,1018009909,2,45000,33361,24000,90000,66722,03-23 21:58
49,TOTW, Ali Marpet,24291,1,89500,86611,67000,89500,86611,03-23 21:58
50,CE, Ali Marpet,1018002510,1,14750,15944,13250,14750,15944,03-23 21:58
51,HERO, Drew Brees,25227,1,263000,185000,120000,263000,185000,03-23 21:58
